imagem,nome,preco,categoria,promocao,destaque,ativo
produtos/barra_chocolate_branco_garoto.png,barra chocolate branco garoto,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_caju.png,barra chocolate caju,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_diamante_negro.png,barra chocolate diamante negro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_ao_leite.png,barra chocolate garoto ao leite,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_crunch.png,barra chocolate garoto crunch,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_meio_amargo.png,barra chocolate garoto meio amargo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_garoto_negresco.png,barra chocolate garoto negresco,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_amaro.png,barra chocolate lacta amaro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_diamante_negro.png,barra chocolate lacta diamante negro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_oreo.png,barra chocolate lacta oreo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_lacta_shot.png,barra chocolate lacta shot,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_charge_recheado.png,barra chocolate nestle charge recheado,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_classic_ao_leite.png,barra chocolate nestle classic ao leite,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_classic_meio_amargo.png,barra chocolate nestle classic meio amargo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_crunch.png,barra chocolate nestle crunch,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_duo.png,barra chocolate nestle duo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_negresco_recheado.png,barra chocolate nestle negresco recheado,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_prestigio.png,barra chocolate nestle prestigio,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_nestle_prestigio_recheado.png,barra chocolate nestle prestigio recheado,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_oreo.png,barra chocolate oreo,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_ouro_branco.png,barra chocolate ouro branco,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_chocolate_sonho_valsa.png,barra chocolate sonho valsa,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_de_chocolate_garoto_negresco.png,barra de chocolate garoto negresco,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_diplomata.png,barra diplomata,10.00,Geral,FALSE,FALSE,TRUE
produtos/barra_lacta_ao_leite.png,barra lacta ao leite,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_lacta_laka_diamante_negro.png,barra lacta laka diamante negro,11.00,Geral,FALSE,FALSE,TRUE
produtos/barra_nestle_galak.png,barra nestle galak,11.00,Geral,FALSE,FALSE,TRUE
produtos/batata_freetaz_cebola_e_salsa_45g.png,batata Freetaz cebola e salsa 45g,4.00,Geral,FALSE,FALSE,TRUE
produtos/batata_freetaz_churrasco_45g.png,batata Freetaz churrasco 45g,4.00,Geral,FALSE,FALSE,TRUE
produtos/batata_freetaz_original_45g.png,batata Freetaz original 45g,4.00,Geral,FALSE,FALSE,TRUE
produtos/batata_lays_35g.png,batata lays 35g,4.99,Geral,FALSE,FALSE,TRUE
produtos/batata_palha_amarelinha_200g.png,Batata Palha Amarelinha 200g,12.00,Geral,FALSE,FALSE,TRUE
produtos/batata_pringles_churrasco.png,batata pringles churrasco,16.00,Geral,FALSE,FALSE,TRUE
produtos/batata_pringles_creme_e_cebola.png,batata pringles creme e cebola,16.00,Geral,FALSE,FALSE,TRUE
produtos/batata_pringles_original.png,batata pringles original,16.00,Geral,FALSE,FALSE,TRUE
produtos/batata_ruffles_32g.png,batata Ruffles 32g,3.99,Geral,FALSE,FALSE,TRUE
produtos/baton.png,baton,2.25,Geral,FALSE,FALSE,TRUE
produtos/baton.png,baton,2.25,Geral,FALSE,FALSE,TRUE
produtos/baunilha_kisabor_30ml.png,Baunilha Kisabor 30ml,4.60,Geral,FALSE,FALSE,TRUE
produtos/baunilhja_arrifama.png,baunilhja arrifama,7.00,Geral,FALSE,FALSE,TRUE
produtos/beats_long_neck_red_mix_frutas_vermelha.png,beats long neck red mix frutas vermelha,8.50,Geral,FALSE,FALSE,TRUE
produtos/bela_roma.png,bela roma,7.00,Geral,FALSE,FALSE,TRUE
produtos/bicarbonato_de_sódio_30g.png,bicarbonato de sódio 30g,2.80,Geral,FALSE,FALSE,TRUE
produtos/bis.png,bis,10.00,Geral,FALSE,FALSE,TRUE
produtos/bis_branco.png,bis branco,10.00,Geral,FALSE,FALSE,TRUE
produtos/biscoito_bauducco_chocolate.png,biscoito bauducco chocolate,3.75,Geral,FALSE,FALSE,TRUE
produtos/biscoito_mama_mia_de_sal.png,biscoito mama mia de sal,8.00,Geral,FALSE,FALSE,TRUE
produtos/bizuqinha_pinta_lingua_azul.png,bizuqinha pinta lingua azul,1.50,Geral,FALSE,FALSE,TRUE
produtos/bizuquinha_chocolate.png,bizuquinha chocolate,1.50,Geral,FALSE,FALSE,TRUE
produtos/bizuquinha_leite_condensado.png,bizuquinha leite condensado,1.50,Geral,FALSE,FALSE,TRUE
produtos/bizuquinha_maracuja.png,bizuquinha maracuja,1.50,Geral,FALSE,FALSE,TRUE
produtos/bizuquinha_morango.png,bizuquinha morango,1.50,Geral,FALSE,FALSE,TRUE
produtos/bizuquinho_açai.png,bizuquinho açai,3.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha__oreo_wandinha.png,bolacha  oreo wandinha,5.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bauducco_morango.png,bolacha bauducco morango,3.75,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bauduco_chocolate.png,bolacha bauduco chocolate,3.75,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bono_chocolate.png,bolacha bono chocolate,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bono_doce_de_leite.png,bolacha bono doce de leite,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bono_limao.png,bolacha bono limao,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_bono_morango.png,bolacha bono morango,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_cream_cracker_sol.png,bolacha cream cracker sol,7.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_maizena_capriche.png,bolacha maizena capriche,7.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_mousse_black_morango.png,bolacha Mousse black morango,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_mousse_chocolate.png,bolacha mousse chocolate,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_mousse_limao.png,bolacha mousse limao,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_mousse_morango.png,bolacha mousse morango,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_negresco.png,bolacha negresco,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_negresco_morango.png,bolacha negresco morango,4.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_oreo.png,bolacha oreo,5.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_passatempo_chocolate.png,bolacha passatempo chocolate,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_trakinas_chocolate.png,bolacha trakinas chocolate,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_trakinas_meio_a_meio.png,bolacha trakinas meio a meio,4.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_tuc's.png,bolacha tuc's,3.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_vitarella_cream_cracker.png,bolacha vitarella cream cracker,10.00,Geral,FALSE,FALSE,TRUE
produtos/bolacha_vitarella_maizena.png,bolacha vitarella maizena,10.50,Geral,FALSE,FALSE,TRUE
produtos/bolacha_wafer_vitarella.png,bolacha Wafer Vitarella,3.50,Geral,FALSE,FALSE,TRUE
produtos/bombom_ninho_trufado.png,bombom ninho trufado,9.00,Geral,FALSE,FALSE,TRUE
produtos/bombom_ouro_branco_und.png,bombom ouro branco und,2.25,Geral,FALSE,FALSE,TRUE
produtos/bombom_sonho_de_valsa.png,bombom sonho de valsa,2.25,Geral,FALSE,FALSE,TRUE
produtos/bombril.png,bombril,4.00,Geral,FALSE,FALSE,TRUE
produtos/bouquet_de_cores.png,bouquet de cores,60.00,Geral,FALSE,FALSE,TRUE
produtos/brahma_269ml.png,Brahma 269ml,3.25,Geral,FALSE,FALSE,TRUE
produtos/brahma_350.png,Brahma 350,3.75,Geral,FALSE,FALSE,TRUE
produtos/brahma_duplo_malte_350ml.png,Brahma duplo Malte 350ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/brahma_duplo_malte_tostada_350_ml.png,Brahma duplo malte tostada 350 ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/brahma_malzbier_long.png,brahma malzbier long,6.50,Geral,FALSE,FALSE,TRUE
produtos/brahma_malzbier_long_neck.png,Brahma Malzbier long neck,6.50,Geral,FALSE,FALSE,TRUE
produtos/brahma_zero_350ml.png,Brahma zero 350ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/brahma_zero_long_neck.png,Brahma zero long neck,5.00,Geral,FALSE,FALSE,TRUE
produtos/budweiser_269ml.png,Budweiser 269ml,3.50,Geral,FALSE,FALSE,TRUE
produtos/budweiser_350ml.png,Budweiser 350ml,4.50,Geral,FALSE,FALSE,TRUE
produtos/budweiser_lonh_neck.png,budweiser lonh neck,6.50,Geral,FALSE,FALSE,TRUE
produtos/cachaça_jamel_965ml.png,cachaça Jamel 965ml,20.50,Geral,FALSE,FALSE,TRUE
produtos/cachaça_ouro_jamel__900ml.png,cachaça ouro jamel  900ml,22.50,Geral,FALSE,FALSE,TRUE
produtos/cachaça_ouro_upióca.png,cachaça ouro Upióca,28.00,Geral,FALSE,FALSE,TRUE
produtos/cachaça_velho_barreiro_910ml.png,cachaça velho barreiro 910ml,23.00,Geral,FALSE,FALSE,TRUE
produtos/cafe__brasileiro_250g.png,cafe  brasileiro 250g,22.00,Geral,FALSE,FALSE,TRUE
produtos/cafe_3_corações_250g.png,cafe 3 corações 250g,23.00,Geral,FALSE,FALSE,TRUE
produtos/cafe_brasileiro_extra_forte.png,cafe brasileiro extra forte,21.00,Geral,FALSE,FALSE,TRUE
produtos/café_brasileiro_tradicional_250g.png,café brasileiro tradicional 250g,21.50,Geral,FALSE,FALSE,TRUE
produtos/cafe_caboclo_250g.png,cafe caboclo 250g,21.00,Geral,FALSE,FALSE,TRUE
produtos/caixa_bombom_garoto.png,caixa bombom garoto,19.00,Geral,FALSE,FALSE,TRUE
produtos/caixa_bombom_nestle_especialidades.png,caixa bombom nestle especialidades,17.00,Geral,FALSE,FALSE,TRUE
produtos/caixa_de_bombom_nestle_especialidades.png,caixa de bombom nestle especialidades,17.00,Geral,FALSE,FALSE,TRUE
produtos/caldo_de_galinha_knor.png,caldo de galinha knor,2.25,Geral,FALSE,FALSE,TRUE
produtos/caldo_maggi_costela.png,Caldo Maggi costela,3.50,Geral,FALSE,FALSE,TRUE
produtos/caldo_maggi_legumes.png,caldo Maggi legumes,3.50,Geral,FALSE,FALSE,TRUE
produtos/camelinho.png,Camelinho,5.50,Geral,FALSE,FALSE,TRUE
produtos/camomila_donana_7g.png,camomila donana 7g,3.25,Geral,FALSE,FALSE,TRUE
produtos/campari_998ml.png,campari 998ml,65.00,Geral,FALSE,FALSE,TRUE
produtos/canela__moida_donana_10g.png,canela  moida Donana 10g,2.80,Geral,FALSE,FALSE,TRUE
produtos/canela_rama_donana_10g.png,Canela rama Donana 10g,2.80,Geral,FALSE,FALSE,TRUE
produtos/caracu_lata.png,caracu lata,6.00,Geral,FALSE,FALSE,TRUE
produtos/caracu_long_neck.png,Caracu long neck,6.00,Geral,FALSE,FALSE,TRUE
produtos/carvão_2.5kg.png,carvão 2.5kg,18.00,Geral,FALSE,FALSE,TRUE
produtos/carvão_5kg_dois_irmãos.png,carvão 5kg dois irmãos,33.00,Geral,FALSE,FALSE,TRUE
produtos/carvao_7kg_dois_irmaos.png,carvao 7kg dois irmaos,39.00,Geral,FALSE,FALSE,TRUE
produtos/carvão_narguile_avante_250g.png,carvão narguile avante 250g,6.00,Geral,FALSE,FALSE,TRUE
